Distance,Average Speed,Average Heart Rate,Max Speed,Max Heart Rate,Idle Time,Moving Time,Relative Effort
9.68,3.676034927368164,147.97427368164062,4.699999809265137,160.0,36,2633,29.0
11.08,4.005044937133789,162.3459930419922,6.624023438,181.0,82,2767,70.0
2.43,3.464438199996948,148.53485107421875,4.019999980926514,158.0,0,703,8.0
1.63,3.755275249481201,134.97235107421875,4.880000114440918,151.0,0,436,2.0
10.53,3.755062341690064,143.46881103515625,5.259969234466553,165.0,59,2805,25.0
5.15,3.376983642578125,132.51968383789062,4.539999961853027,154.0,64,1525,6.0
17.72,3.6997454166412354,142.47850036621094,4.791434288024902,161.0,3,4791,28.0
11.27,3.987768888473511,165.7886199951172,4.764974117279053,180.0,13,2828,78.0
3.22,3.933048725128174,148.35243225097656,5.099999904632568,169.0,35,820,16.0
22.11,3.701876401901245,101.04975128173828,5.9657158851623535,179.0,49,5975,29.0
12.96,3.756824970245361,136.24514770507812,5.494042873382568,149.0,17,3452,15.0
19.33,4.144875526428223,155.65672302246094,7.5,177.0,1274,4664,91.0
16.58,4.461303234100342,152.1811065673828,5.809723854064941,168.0,34,3718,62.0
8.87,3.5126967430114746,147.63629150390625,4.914001465,158.0,50,2525,21.0
9.73,3.739546775817871,142.0172882080078,4.708565711975098,162.0,0,2603,17.0
9.65,3.576666593551636,144.58132934570312,5.199999809265137,166.0,114,2700,39.0
12.9,3.993488073348999,158.54782104492188,5.435937404632568,176.0,0,3231,73.0
1.61,3.684145689,128.2277832,4.251668453216553,143.0,0,439,1.0
1.29,3.731502771377564,132.95388793945312,6.400000095367432,161.0,289,346,3.0
4.22,3.86569094657898,133.49716186523438,5.933333396911621,153.0,140,1093,5.0
4.84,3.53362250328064,135.52963256835938,4.300000190734863,156.0,223,1372,8.0
7.25,3.5289008617401123,154.42599487304688,5.876074314117432,175.0,101,2056,35.0
17.71,3.870979070663452,165.1342010498047,5.199999809265137,181.0,157,4576,191.0
4.08,3.635587215423584,138.60089111328125,4.5,164.0,524,1124,13.0
6.77,3.524141550064087,167.1021728515625,4.599999904632568,189.0,25,1922,87.0
3.22,3.5678672790527344,130.05966186523438,4.564000129699707,147.0,0,905,3.0
3.23,3.659096002578736,145.66290283203125,4.739999771118164,159.0,0,885,10.0
11.28,3.784746646881104,151.48776245117188,5.733984470367432,179.0,36,2981,47.0
