Distance,Average Speed,Average Heart Rate,Max Speed,Max Heart Rate,Idle Time,Moving Time,Relative Effort
8.11,3.9467170238494873,159.69065856933594,4.558007717132568,188.0,0,2056,45.0
14.51,3.924858093261719,156.70484924316406,5.300000190734863,180.0,76,3697,77.0
9.76,3.715066671,139.83726501464844,4.545996189117432,166.0,102,2627,14.0
1.62,3.1402907371521,144.7344970703125,3.8685824871063232,154.0,0,516,3.0
4.92,3.216557741165161,131.62916564941406,4.417999744415283,151.0,756,1531,6.0
22.55,3.965154647827149,172.831543,5.341796875,193.0,0,5688,214.0
16.33,3.723461151123047,141.63018798828125,4.621582031,153.0,8,4386,21.0
4.09,3.4060065746307373,153.7312774658203,4.191253662109375,176.0,0,1202,19.0
3.36,3.759496688842773,145.98321533203125,4.544962406158447,157.0,0,894,7.0
3.02,4.337130546569824,132.59893798828125,6.998331546783447,150.0,56,697,5.0
10.48,3.7302560806274414,146.4129638671875,5.006591797,161.0,55,2810,28.0
6.52,3.670174360275269,149.8436737060547,5.816253662109375,189.0,479,1778,29.0
1.61,2.9544873237609863,138.6458740234375,4.768331050872803,150.0,579,546,2.0
13.69,3.8412506580352783,151.5557403564453,5.78000021,165.0,7,3566,55.0
11.29,4.339700698852539,158.68690490722656,5.619921684265137,176.0,193,2603,56.0
1.62,3.310386896133423,148.4256591796875,3.700000047683716,162.0,0,491,6.0
0.8,3.5047826766967773,142.4890899658203,4.400000095367432,170.0,7,230,3.0
1.0,4.808612347,171.7095184326172,5.599999904632568,183.0,75,209,10.0
21.13,4.058382987976074,155.4475555419922,5.699999809265137,178.0,48,5207,108.0
1.63,3.070809841156006,124.3932113647461,4.159999847412109,138.0,6,531,1.0
17.71,3.962106466293335,147.22462463378906,6.375976563,183.0,700,4472,46.0
6.5,3.614777803421021,135.06228637695312,4.820000171661377,151.0,16,1800,7.0
9.72,3.686432838439941,134.21168518066406,4.665736675262451,151.0,334,2638,11.0
8.06,3.592691659927368,146.87539672851562,5.340000152587891,177.0,61,2244,38.0
9.67,3.525315284729004,147.2399902,4.579980373382568,170.0,17,2745,24.0
5.01,3.653916835784912,142.08248901367188,4.520007133483887,168.0,37,1371,7.0
1.61,3.81872034072876,145.2583008,4.559999942779541,155.0,0,422,3.0
4.84,3.459150791168213,125.41184997558594,4.738000392913818,164.0,0,1401,14.0
15.3,3.841932773590088,140.53961181640625,6.743994235992432,181.0,717,3984,29.0
1.62,3.404360533,132.75941467285156,4.204003810882568,148.0,2,477,1.0
5.26,3.448872804641724,155.01976013183594,7.13499927520752,181.0,4,1526,39.0
9.36,3.689751625061035,142.3588867,5.400000095367432,178.0,6669,2537,38.0
1.62,3.132243633270264,140.23345947265625,3.7299957275390634,149.0,0,517,2.0
1.82,3.6300997734069824,134.75604248046875,5.655999660491943,149.0,53,502,2.0
1.62,3.6065189838409424,133.8866729736328,4.344006538391113,147.0,0,451,1.0
11.28,3.673001289367676,159.67828369140625,4.751708984,180.0,102,3072,104.0
9.67,3.613319396972656,142.24179077148438,4.489999294281006,155.0,8,2678,13.0
4.04,3.509331703186035,151.86880493164062,4.164998531341553,177.0,61,1152,15.0
3.97,3.6735119819641113,143.42454528808594,3.814285755157471,156.0,18,1082,7.0
6.48,3.546513319015503,131.9463348388672,5.046093940734863,146.0,12,1827,7.0
4.83,3.2364656925201416,130.4718475341797,4.102852821350098,144.0,0,1494,5.0
8.52,3.4188570976257324,132.1281738,12.411412239074709,174.0,541,2494,24.0
12.89,3.6935529708862314,160.4967041015625,5.079882621765137,178.0,31,3490,86.0
9.67,3.714366436004639,140.23782348632812,4.832006931304932,160.0,133,2604,17.0
1.65,3.716756820678711,149.65541076660156,4.510009766,163.0,0,444,6.0
9.67,3.6668155193328857,162.1816406,5.405957221984863,194.0,57,2638,61.0
3.24,3.6244518756866455,138.13870239257812,4.626665592193604,156.0,18,894,6.0
3.22,3.663405179977417,158.5777587890625,3.9166667461395264,182.0,0,881,16.0
5.02,4.851826190948486,170.6096649169922,6.350000381469727,179.0,0,1035,34.0
9.9,3.483966112136841,147.94837951660156,7.491991996765137,177.0,236,2844,32.0
9.68,3.4139983654022217,145.16542053222656,4.543334961,166.0,406,2836,25.0
4.04,3.762083768844605,156.1735076904297,5.421972751617432,183.0,0,1075,19.0
16.67,3.830921173095703,144.5244598388672,5.539999961853027,158.0,6,4353,38.0
4.04,3.860840559005737,145.49139404296875,4.940000057220459,155.0,0,1047,9.0
3.23,3.731349468231201,169.2698974609375,4.470001220703125,186.0,7,867,28.0
1.72,3.591538429260254,128.3742218017578,4.5,141.0,0,481,1.0
16.11,4.224351406097412,154.47116088867188,7.21999979,179.0,5,3815,69.0
4.88,3.514413833618164,153.25772094726562,7.186645508,173.0,73,1391,23.0
8.87,3.5095646381378174,141.2128143310547,4.468343257904053,152.0,18,2528,12.0
9.67,3.321359872817993,144.2876739501953,4.28000021,170.0,62,2912,28.0
11.83,3.523427724838257,149.49005126953125,5.800000190734863,164.0,160,3358,51.0
14.68,3.928680658340454,149.36428833007812,6.027929782867432,172.0,218,3737,52.0
11.45,3.702040195465088,143.9198455810547,4.466015815734863,167.0,13,3093,28.0
14.49,3.9248063564300537,157.5600586,6.073974609,184.0,115,3693,71.0
0.21,7.244827747344971,142.6896514892578,8.300000190734863,167.0,0,29,0.0
14.5,4.163267135620117,165.0502471923828,6.622070313,183.0,525,3483,93.0
0.21,7.574999809265137,153.64285278320312,8.800000190734863,165.0,0,28,0.0
12.87,3.83037781715393,150.0240936279297,5.137499809265137,181.0,0,3361,42.0
3.24,3.606818675994873,146.69187927246094,4.246663570404053,157.0,12,899,8.0
0.16,5.6068964,134.20689392089844,7.300000190734863,157.0,142,29,0.0
